"freq,lev_limit,unit,geo\TIME_PERIOD",2021 
"A,LTD_NSEV_NONE,PC,AT",27.3 
"A,LTD_NSEV_NONE,PC,BE",18.6 
"A,LTD_NSEV_NONE,PC,BG",4.0 
"A,LTD_NSEV_NONE,PC,CY",14.5 
"A,LTD_NSEV_NONE,PC,CZ",9.2 
"A,LTD_NSEV_NONE,PC,DE",13.7 
"A,LTD_NSEV_NONE,PC,DK",37.9 
"A,LTD_NSEV_NONE,PC,EE",19.9 
"A,LTD_NSEV_NONE,PC,EL",24.7 
"A,LTD_NSEV_NONE,PC,ES",19.6 
"A,LTD_NSEV_NONE,PC,EU_V",19.1 e
"A,LTD_NSEV_NONE,PC,FI",45.0 
"A,LTD_NSEV_NONE,PC,FR",25.8 
"A,LTD_NSEV_NONE,PC,HR",19.5 
"A,LTD_NSEV_NONE,PC,HU",19.3 
"A,LTD_NSEV_NONE,PC,IE",27.4 
"A,LTD_NSEV_NONE,PC,LT",13.9 
"A,LTD_NSEV_NONE,PC,LU",32.9 
"A,LTD_NSEV_NONE,PC,LV",13.7 
"A,LTD_NSEV_NONE,PC,ME",6.4 
"A,LTD_NSEV_NONE,PC,MT",15.0 
"A,LTD_NSEV_NONE,PC,NL",36.0 
"A,LTD_NSEV_NONE,PC,PL",8.2 
"A,LTD_NSEV_NONE,PC,PT",13.2 
"A,LTD_NSEV_NONE,PC,RO",13.6 
"A,LTD_NSEV_NONE,PC,RS",9.9 
"A,LTD_NSEV_NONE,PC,SE",41.3 
"A,LTD_NSEV_NONE,PC,SI",16.0 
"A,LTD_NSEV_NONE,PC,SK",15.8 
"A,LTD_NSEV_NONE,PC,XK",6.3 
"A,NONE,PC,AT",26.1 
"A,NONE,PC,BE",16.5 
"A,NONE,PC,BG",3.7 
"A,NONE,PC,CY",14.5 
"A,NONE,PC,CZ",9.4 
"A,NONE,PC,DE",12.3 
"A,NONE,PC,DK",34.7 
"A,NONE,PC,EE",18.7 
"A,NONE,PC,EL",24.1 
"A,NONE,PC,ES",18.9 
"A,NONE,PC,EU_V",17.8 e
"A,NONE,PC,FI",41.2 
"A,NONE,PC,FR",25.1 
"A,NONE,PC,HR",23.6 
"A,NONE,PC,HU",19.2 
"A,NONE,PC,IE",26.6 
"A,NONE,PC,LT",13.6 
"A,NONE,PC,LU",31.0 
"A,NONE,PC,LV",13.2 
"A,NONE,PC,ME",6.6 
"A,NONE,PC,MT",14.4 
"A,NONE,PC,NL",34.2 
"A,NONE,PC,PL",7.9 
"A,NONE,PC,PT",11.8 
"A,NONE,PC,RO",12.9 
"A,NONE,PC,RS",9.5 
"A,NONE,PC,SE",39.3 
"A,NONE,PC,SI",15.4 
"A,NONE,PC,SK",13.1 
"A,NONE,PC,XK",5.9 
"A,SEV,PC,AT",33.0 
"A,SEV,PC,BE",26.8 
"A,SEV,PC,BG",41.8 
"A,SEV,PC,CY",: u
"A,SEV,PC,CZ",: u
"A,SEV,PC,DE",: u
"A,SEV,PC,DK",56.2 
"A,SEV,PC,EE",29.1 
"A,SEV,PC,EL",26.7 
"A,SEV,PC,ES",30.0 u
"A,SEV,PC,EU_V",29.4 e
"A,SEV,PC,FI",76.6 
"A,SEV,PC,FR",33.9 
"A,SEV,PC,HR",: u
"A,SEV,PC,HU",: u
"A,SEV,PC,IE",: u
"A,SEV,PC,LT",: u
"A,SEV,PC,LU",56.9 u
"A,SEV,PC,LV",19.0 u
"A,SEV,PC,ME",: u
"A,SEV,PC,MT",: u
"A,SEV,PC,NL",51.6 
"A,SEV,PC,PL",: u
"A,SEV,PC,PT",13.4 u
"A,SEV,PC,RO",: u
"A,SEV,PC,RS",14.8 u
"A,SEV,PC,SE",56.2 
"A,SEV,PC,SI",: u
"A,SEV,PC,SK",31.0 
"A,SEV,PC,XK",: u
"A,SM_SEV,PC,AT",32.7 
"A,SM_SEV,PC,BE",27.9 
"A,SM_SEV,PC,BG",16.3 
"A,SM_SEV,PC,CY",16.2 u
"A,SM_SEV,PC,CZ",10.2 u
"A,SM_SEV,PC,DE",23.2 
"A,SM_SEV,PC,DK",48.3 
"A,SM_SEV,PC,EE",25.8 
"A,SM_SEV,PC,EL",28.6 
"A,SM_SEV,PC,ES",25.6 
"A,SM_SEV,PC,EU_V",26.7 e
"A,SM_SEV,PC,FI",57.7 
"A,SM_SEV,PC,FR",30.1 
"A,SM_SEV,PC,HR",2.5 u
"A,SM_SEV,PC,HU",18.9 u
"A,SM_SEV,PC,IE",33.0 u
"A,SM_SEV,PC,LT",15.5 
"A,SM_SEV,PC,LU",45.8 
"A,SM_SEV,PC,LV",16.4 
"A,SM_SEV,PC,ME",: u
"A,SM_SEV,PC,MT",20.2 
"A,SM_SEV,PC,NL",42.9 
"A,SM_SEV,PC,PL",10.8 
"A,SM_SEV,PC,PT",16.6 
"A,SM_SEV,PC,RO",17.6 
"A,SM_SEV,PC,RS",14.1 
"A,SM_SEV,PC,SE",49.7 
"A,SM_SEV,PC,SI",19.0 u
"A,SM_SEV,PC,SK",25.2 
"A,SM_SEV,PC,XK",: u
"A,SOME,PC,AT",32.6 
"A,SOME,PC,BE",28.4 
"A,SOME,PC,BG",6.5 u
"A,SOME,PC,CY",: u
"A,SOME,PC,CZ",8.3 u
"A,SOME,PC,DE",22.2 
"A,SOME,PC,DK",47.3 
"A,SOME,PC,EE",24.5 
"A,SOME,PC,EL",29.0 
"A,SOME,PC,ES",24.7 
"A,SOME,PC,EU_V",26.1 e
"A,SOME,PC,FI",54.6 
"A,SOME,PC,FR",28.8 
"A,SOME,PC,HR",: u
"A,SOME,PC,HU",20.0 u
"A,SOME,PC,IE",32.3 u
"A,SOME,PC,LT",16.4 
"A,SOME,PC,LU",43.3 
"A,SOME,PC,LV",15.9 
"A,SOME,PC,ME",: u
"A,SOME,PC,MT",20.2 
"A,SOME,PC,NL",41.8 
"A,SOME,PC,PL",11.0 
"A,SOME,PC,PT",17.1 
"A,SOME,PC,RO",17.7 u
"A,SOME,PC,RS",13.9 
"A,SOME,PC,SE",48.4 
"A,SOME,PC,SI",21.3 u
"A,SOME,PC,SK",23.4 
"A,SOME,PC,XK",: u
"A,TOTAL,PC,AT",27.5 
"A,TOTAL,PC,BE",19.1 
"A,TOTAL,PC,BG",5.9 
"A,TOTAL,PC,CY",14.6 
"A,TOTAL,PC,CZ",9.7 
"A,TOTAL,PC,DE",14.1 
"A,TOTAL,PC,DK",38.2 
"A,TOTAL,PC,EE",20.6 
"A,TOTAL,PC,EL",24.8 
"A,TOTAL,PC,ES",20.0 
"A,TOTAL,PC,EU_V",19.6 e
"A,TOTAL,PC,FI",46.5 
"A,TOTAL,PC,FR",26.1 
"A,TOTAL,PC,HR",18.7 
"A,TOTAL,PC,HU",19.2 
"A,TOTAL,PC,IE",27.6 
"A,TOTAL,PC,LT",13.6 
"A,TOTAL,PC,LU",33.7 
"A,TOTAL,PC,LV",13.9 
"A,TOTAL,PC,ME",6.2 
"A,TOTAL,PC,MT",15.1 
"A,TOTAL,PC,NL",35.5 
"A,TOTAL,PC,PL",8.2 
"A,TOTAL,PC,PT",13.1 
"A,TOTAL,PC,RO",14.1 
"A,TOTAL,PC,RS",10.1 
"A,TOTAL,PC,SE",42.0 
"A,TOTAL,PC,SI",16.0 
"A,TOTAL,PC,SK",16.9 
"A,TOTAL,PC,XK",6.1 
